Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA
2024-07-09,227.3574981689453,455.2950744628906,187.9009246826172,199.33999633789062,527.8351440429688,131.33111572265625,262.3299865722656
2024-07-10,231.6326141357422,461.9430847167969,190.08834838867188,199.7899932861328,532.5059204101562,134.85980224609375,263.260009765625
2024-07-11,226.25392150878906,450.4997863769531,184.51040649414062,195.0500030517578,510.6058654785156,127.35258483886719,241.02999877929688
2024-07-12,229.20669555664062,449.3603515625,184.0132293701172,194.49000549316406,496.8323059082031,129.19189453125,248.22999572753906
2024-07-15,233.04440307617188,449.7666320800781,185.4649200439453,192.72000122070312,494.1333923339844,128.39219665527344,252.63999938964844
2024-07-16,233.4619903564453,445.36761474609375,182.86981201171875,193.02000427246094,487.7893981933594,126.31297302246094,256.55999755859375
2024-07-17,227.5563507080078,439.42303466796875,179.9863739013672,187.92999267578125,460.1029357910156,117.94608306884766,248.5
2024-07-18,222.8834991455078,436.3021240234375,176.67539978027344,183.75,473.9063720703125,121.044921875,249.22999572753906
2024-07-19,223.01275634765625,433.072265625,176.6455535888672,183.1300048828125,474.8424987792969,117.8861083984375,239.1999969482422
2024-07-22,222.664794921875,438.84844970703125,180.63265991210938,182.5500030517578,485.4091796875,123.4940185546875,251.50999450683594
2024-07-23,223.7086944580078,440.74078369140625,180.751953125,186.41000366210938,486.69390869140625,122.54436492919922,246.3800048828125
2024-07-24,217.276123046875,424.9381408691406,171.644287109375,180.8300018310547,459.3858947753906,114.20748138427734,215.99000549316406
2024-07-25,216.23220825195312,414.5350646972656,166.3248291015625,179.85000610351562,451.5579833984375,112.23821258544922,220.25
2024-07-26,216.69949340820312,421.34161376953125,166.04641723632812,182.5,463.7978210449219,113.0179214477539,219.8000030517578
2024-07-29,216.97787475585938,422.78814697265625,168.56195068359375,183.1999969482422,463.8077392578125,111.5484619140625,232.10000610351562
2024-07-30,217.5346221923828,419.0133361816406,169.317626953125,181.7100067138672,461.2980651855469,103.69139099121094,222.6199951171875
2024-07-31,220.795654296875,414.4855651855469,170.56048583984375,186.97999572753906,472.8905029296875,116.97643280029297,232.07000732421875
2024-08-01,217.09716796875,413.2569580078125,169.78494262695312,184.07000732421875,495.70697021484375,109.16935729980469,216.86000061035156
2024-08-02,218.58848571777344,404.7166442871094,165.70838928222656,167.89999389648438,486.1461486816406,107.23007202148438,207.6699981689453
2024-08-05,208.05975341796875,391.4998474121094,158.34068298339844,161.02000427246094,473.786865234375,100.41261291503906,198.8800048828125
2024-08-06,206.03152465820312,395.9186706542969,157.3861541748047,161.92999267578125,492.0718078613281,104.21119689941406,200.63999938964844
2024-08-07,208.6065673828125,394.74951171875,158.03245544433594,162.77000427246094,486.9229736328125,98.8731918334961,191.75999450683594
2024-08-08,212.07638549804688,398.9701843261719,161.10479736328125,165.8000030517578,507.5483703613281,104.93093872070312,198.83999633789062
2024-08-09,214.98944091796875,402.2694091796875,162.73544311523438,166.94000244140625,515.6552124023438,104.71101379394531,200.0
2024-08-12,216.5222930908203,403.0521545410156,161.36331176757812,166.8000030517578,513.8425903320312,108.97941589355469,197.49000549316406
2024-08-13,220.24496459960938,410.1856384277344,163.22262573242188,170.22999572753906,526.381103515625,116.09677124023438,207.8300018310547
2024-08-14,220.69290161132812,413.00933837890625,159.45425415039062,170.10000610351562,524.6084594726562,118.03606414794922,201.3800048828125
2024-08-15,223.6790008544922,417.8926696777344,160.3789825439453,177.58999633789062,535.13525390625,122.81427001953125,214.13999938964844
2024-08-16,225.00283813476562,415.3517150878906,162.02947998046875,177.05999755859375,525.265625,124.53363037109375,216.1199951171875
2024-08-19,224.84356689453125,418.388916015625,165.7183074951172,178.22000122070312,527.1181640625,129.9516143798828,222.72000122070312
2024-08-20,225.460693359375,421.6345520019531,166.22540283203125,178.8800048828125,524.5784301757812,127.20264434814453,221.10000610351562
2024-08-21,225.35121154785156,420.9794921875,164.9029998779297,180.11000061035156,532.9739990234375,128.45217895507812,223.27000427246094
2024-08-22,223.4898681640625,412.4534912109375,162.8647003173828,176.1300048828125,529.7572631835938,123.69393920898438,210.66000366210938
2024-08-23,225.78916931152344,413.6842346191406,164.67431640625,177.0399932861328,525.8433227539062,129.32183837890625,220.32000732421875
2024-08-26,226.12759399414062,410.4088439941406,165.21121215820312,175.5,518.9915161132812,126.4129409790039,213.2100067138672
2024-08-27,226.97366333007812,410.7562255859375,163.73965454101562,173.1199951171875,516.9796142578125,128.25225830078125,209.2100067138672
2024-08-28,225.4407958984375,407.5404052734375,161.92013549804688,170.8000030517578,514.669189453125,125.5632553100586,205.75
2024-08-29,228.72549438476562,410.0416259765625,160.85623168945312,172.1199951171875,516.103271484375,117.54623413085938,206.27999877929688
2024-08-30,227.93917846679688,414.0316467285156,162.44711303710938,178.5,519.1806640625,119.32557678222656,214.11000061035156
2024-09-03,221.73805236816406,406.3890380859375,156.4614715576172,176.25,509.669677734375,107.95980834960938,210.60000610351562
2024-09-04,219.826904296875,405.8530578613281,155.55667114257812,173.3300018310547,510.6455993652344,106.17047882080078,219.41000366210938
2024-09-05,221.34983825683594,405.3468322753906,156.34214782714844,177.88999938964844,514.7488403320312,107.17009735107422,230.1699981689453
2024-09-06,219.7970733642578,398.7066955566406,150.0582275390625,171.38999938964844,498.2265930175781,102.79173278808594,210.72999572753906
2024-09-09,219.8866424560547,402.69671630859375,148.05706787109375,175.39999389648438,502.7281188964844,106.43037414550781,216.27000427246094
2024-09-10,219.09034729003906,411.1135559082031,148.00729370117188,179.5500030517578,502.7281188964844,108.05976104736328,226.1699981689453
2024-09-11,221.62852478027344,419.8876953125,150.49630737304688,184.52000427246094,509.7393493652344,116.86649322509766,228.1300048828125
2024-09-12,221.73805236816406,423.81817626953125,154.0108184814453,187.0,523.453125,119.10585021972656,229.80999755859375
2024-09-13,221.4692840576172,427.38140869140625,156.76866149902344,186.49000549316406,522.4771118164062,119.06584930419922,230.2899932861328
2024-09-16,215.3179168701172,428.1258544921875,157.36599731445312,184.88999938964844,531.6084594726562,116.74651336669922,226.77999877929688
2024-09-17,215.78570556640625,431.9074401855469,158.62049865722656,186.8800048828125,534.6389770507812,115.5568618774414,227.8699951171875
2024-09-18,219.66766357421875,427.59979248046875,159.10833740234375,186.42999267578125,536.2637939453125,113.33749389648438,227.1999969482422
2024-09-19,227.8097686767578,435.42108154296875,161.4281005859375,189.8699951171875,557.3474731445312,117.8362045288086,243.9199981689453
2024-09-20,227.14285278320312,432.02655029296875,162.87173461914062,191.60000610351562,559.5903930664062,115.96674346923828,238.25
2024-09-23,225.4208984375,430.2796630859375,161.13937377929688,193.8800048828125,562.6408081054688,116.22667694091797,250.0
2024-09-24,226.31671142578125,425.9720153808594,161.5774383544922,193.9600067138672,561.5642700195312,120.8353500366211,254.27000427246094
2024-09-25,225.3213348388672,428.89007568359375,160.7809600830078,192.52999877929688,566.528564453125,123.47459411621094,257.0199890136719
2024-09-26,226.46603393554688,428.0960388183594,162.0155029296875,191.16000366210938,566.0601196289062,124.00444030761719,254.22000122070312
2024-09-27,226.73475646972656,424.8305358886719,163.2301483154297,187.97000122070312,565.5816040039062,121.36520385742188,260.4599914550781
2024-09-30,231.920654296875,427.0935363769531,165.12181091308594,186.3300018310547,570.6456909179688,121.40518951416016,261.6300048828125
2024-10-01,225.16209411621094,417.55517578125,166.25680541992188,185.1300048828125,574.6630249023438,116.9664535522461,258.0199890136719
2024-10-02,225.7294464111328,414.021728515625,165.13177490234375,184.75999450683594,571.0145874023438,118.81593322753906,249.02000427246094
2024-10-03,224.6245880126953,413.4361267089844,165.13177490234375,181.9600067138672,580.9432983398438,122.81478118896484,240.66000366210938
2024-10-04,225.7493438720703,412.9596862792969,166.32650756835938,186.50999450683594,594.0720825195312,124.88418579101562,250.0800018310547
2024-10-07,220.66302490234375,406.4883117675781,162.26441955566406,180.8000030517578,582.947021484375,127.68338775634766,240.8300018310547
2024-10-08,224.72413635253906,411.6197814941406,163.65826416015625,182.72000122070312,591.0315551757812,132.85189819335938,244.5
2024-10-09,228.47665405273438,414.3492431640625,161.1493377685547,185.1699981689453,588.6589965820312,132.61196899414062,241.0500030517578
2024-10-10,227.97897338867188,412.7413330078125,161.3683624267578,186.64999389648438,581.9999389648438,134.7713623046875,238.77000427246094
2024-10-11,226.4958953857422,413.2177429199219,162.5232696533203,188.82000732421875,588.100830078125,134.76136779785156,217.8000030517578
2024-10-14,230.228515625,416.0167541503906,164.2357177734375,187.5399932861328,588.5692138671875,138.0304412841797,219.16000366210938
2024-10-15,232.76670837402344,415.6197204589844,164.73353576660156,187.69000244140625,584.4323120117188,131.56228637695312,219.57000732421875
